ts,balance_usd,equity_usd,open_positions,equity_peak_usd,drawdown_usd,drawdown_pct
2026-02-16 00:00:00+00:00,10000.0,9989.660683265787,2,9989.660683265787,0.0,0.0
2026-02-16 00:05:00+00:00,10000.0,10052.959925723006,2,10052.959925723006,0.0,0.0
2026-02-16 00:10:00+00:00,10000.0,10101.53344157649,2,10101.53344157649,0.0,0.0
2026-02-16 00:15:00+00:00,10000.0,10063.936819877164,2,10101.53344157649,-37.596621699325624,-0.37218727153427444
2026-02-16 00:20:00+00:00,10000.0,10078.317920019883,2,10101.53344157649,-23.2155215566072,-0.22982175618065925
2026-02-16 00:25:00+00:00,10000.0,10097.723592316184,3,10101.53344157649,-3.809849260305782,-0.03771555360718715
2026-02-16 00:30:00+00:00,10000.0,10097.535121277933,3,10101.53344157649,-3.9983202985567914,-0.039581320219173044
2026-02-16 00:35:00+00:00,10000.0,10099.6029710691,3,10101.53344157649,-1.930470507390055,-0.019110667885768873
2026-02-16 00:40:00+00:00,10000.0,10081.857651133032,3,10101.53344157649,-19.675790443458027,-0.19478023368685315
2026-02-16 00:45:00+00:00,10000.0,10107.476254884046,3,10107.476254884046,0.0,0.0
2026-02-16 00:50:00+00:00,10000.0,10101.65964097488,3,10107.476254884046,-5.816613909166335,-0.05754763862398926
2026-02-16 00:55:00+00:00,10000.0,10114.656339978017,3,10114.656339978017,0.0,0.0
2026-02-16 01:00:00+00:00,10000.0,10132.817976893872,3,10132.817976893872,0.0,0.0
2026-02-16 01:05:00+00:00,10000.0,10128.103327073415,3,10132.817976893872,-4.714649820456543,-0.046528515869992404
2026-02-16 01:10:00+00:00,10000.0,10093.699600259797,3,10132.817976893872,-39.11837663407459,-0.38605624539271854
2026-02-16 01:15:00+00:00,10000.0,10080.681803513871,4,10132.817976893872,-52.1361733800004,-0.5145278786107488
2026-02-16 01:20:00+00:00,10000.0,10096.65002161199,4,10132.817976893872,-36.167955281882314,-0.35693876436305727
2026-02-16 01:25:00+00:00,10000.0,10072.71305840606,4,10132.817976893872,-60.10491848781203,-0.593170810182031
2026-02-16 01:30:00+00:00,10000.0,10077.351112070448,4,10132.817976893872,-55.46686482342375,-0.5473982158754498
2026-02-16 01:35:00+00:00,10000.0,10052.491962897162,4,10132.817976893872,-80.32601399670966,-0.7927312439627299
2026-02-16 01:40:00+00:00,10000.0,10068.760455708618,4,10132.817976893872,-64.05752118525379,-0.6321787417017277
2026-02-16 01:45:00+00:00,10000.0,10082.641756343843,4,10132.817976893872,-50.17622055002903,-0.4951852551229763
2026-02-16 01:50:00+00:00,10000.0,10110.627576856099,5,10132.817976893872,-22.190400037772633,-0.2189953484645013
2026-02-16 01:55:00+00:00,10000.0,10112.475846483529,5,10132.817976893872,-20.34213041034309,-0.20075491789874889
2026-02-16 02:00:00+00:00,10000.0,10158.719073837103,5,10158.719073837103,0.0,0.0
