ts,balance_usd,equity_usd,open_positions,equity_peak_usd,drawdown_usd,drawdown_pct
2026-02-16 00:00:00+00:00,10000.0,9992.940875886141,1,9992.940875886141,0.0,0.0
2026-02-16 00:05:00+00:00,10000.0,10021.714824670955,1,10021.714824670955,0.0,0.0
2026-02-16 00:10:00+00:00,10000.0,10043.914178653456,1,10043.914178653456,0.0,0.0
2026-02-16 00:15:00+00:00,10000.0,10025.373298160623,1,10043.914178653456,-18.54088049283382,-0.18459815728253393
2026-02-16 00:20:00+00:00,10000.0,10034.263756594735,1,10043.914178653456,-9.650422058721233,-0.09608228313252587
2026-02-16 00:25:00+00:00,10000.0,10040.896367219491,2,10043.914178653456,-3.0178114339651074,-0.030046169056074934
2026-02-16 00:30:00+00:00,10000.0,10042.531710783798,2,10043.914178653456,-1.382467869658285,-0.01376423419264805
2026-02-16 00:35:00+00:00,10000.0,10046.685271737204,2,10046.685271737204,0.0,0.0
2026-02-16 00:40:00+00:00,10000.0,10037.813133774787,2,10046.685271737204,-8.872137962416673,-0.08830910616236531
2026-02-16 00:45:00+00:00,10000.0,10047.766178798043,2,10047.766178798043,0.0,0.0
2026-02-16 00:50:00+00:00,10000.0,10043.518434526106,2,10047.766178798043,-4.247744271937336,-0.04227550876830799
2026-02-16 00:55:00+00:00,10000.0,10046.987120538615,3,10047.766178798043,-0.779058259427984,-0.007753546863698002
2026-02-16 01:00:00+00:00,10000.0,10065.162014534713,3,10065.162014534713,0.0,0.0
2026-02-16 01:05:00+00:00,10000.0,10060.43698044227,3,10065.162014534713,-4.7250340924438206,-0.046944441486596045
2026-02-16 01:10:00+00:00,10000.0,10025.998100212411,3,10065.162014534713,-39.163914322301935,-0.38910366535329644
2026-02-16 01:15:00+00:00,10000.0,10012.975436595047,4,10065.162014534713,-52.18657793966668,-0.5184872122704687
2026-02-16 01:20:00+00:00,10000.0,10028.948963972767,4,10065.162014534713,-36.21305056194615,-0.3597860671259223
2026-02-16 01:25:00+00:00,10000.0,10004.999611152265,4,10065.162014534713,-60.16240338244825,-0.597729110525691
2026-02-16 01:30:00+00:00,10000.0,10009.640320115795,4,10065.162014534713,-55.52169441891783,-0.5516224611063492
2026-02-16 01:35:00+00:00,10000.0,9984.777630497374,4,10065.162014534713,-80.38438403733926,-0.7986397429197822
2026-02-16 01:40:00+00:00,10000.0,10001.045902018715,4,10065.162014534713,-64.11611251599788,-0.6370102381204612
2026-02-16 01:45:00+00:00,10000.0,10014.935168186961,4,10065.162014534713,-50.226846347752144,-0.4990167696776404
2026-02-16 01:50:00+00:00,10000.0,10042.93580845285,5,10065.162014534713,-22.226206081862983,-0.220823132799719
2026-02-16 01:55:00+00:00,10000.0,10044.771470642138,5,10065.162014534713,-20.390543892575806,-0.20258535196086003
2026-02-16 02:00:00+00:00,10000.0,10091.02443046656,5,10091.02443046656,0.0,0.0
2026-02-16 02:05:00+00:00,10000.0,10052.375161967171,5,10091.02443046656,-38.6492684993882,-0.38300639113210133
2026-02-16 02:10:00+00:00,10000.0,10091.489840703995,5,10091.489840703995,0.0,0.0
2026-02-16 02:15:00+00:00,10000.0,10076.667966539151,5,10091.489840703995,-14.821874164843393,-0.14687498475258742
2026-02-16 02:20:00+00:00,10000.0,10048.884136719775,5,10091.489840703995,-42.60570398421987,-0.42219439009263393
2026-02-16 02:25:00+00:00,10000.0,10088.886584504075,5,10091.489840703995,-2.603256199919997,-0.025796549776224698
2026-02-16 02:30:00+00:00,10000.0,10119.058706633507,5,10119.058706633507,0.0,0.0
2026-02-16 02:35:00+00:00,10000.0,10083.669385788737,5,10119.058706633507,-35.38932084476983,-0.3497293757330433
2026-02-16 02:40:00+00:00,10000.0,10083.43111853813,5,10119.058706633507,-35.62758809537627,-0.3520840142178572
2026-02-16 02:45:00+00:00,10000.0,10078.89592990592,5,10119.058706633507,-40.16277672758588,-0.39690229982811687
2026-02-16 02:50:00+00:00,10000.0,10006.478648834585,5,10119.058706633507,-112.58005779892119,-1.1125546462648739
2026-02-16 02:55:00+00:00,10000.0,10019.780091613628,5,10119.058706633507,-99.278615019879,-0.9811052381265228
2026-02-16 03:00:00+00:00,10000.0,10024.777039941991,5,10119.058706633507,-94.28166669151506,-0.9317236852248834
2026-02-16 03:05:00+00:00,10000.0,10080.35579227659,5,10119.058706633507,-38.70291435691615,-0.3824754404433306
2026-02-16 03:10:00+00:00,10000.0,10102.86985709267,5,10119.058706633507,-16.1888495408366,-0.15998374957765238
2026-02-16 03:15:00+00:00,10000.0,10097.325296272216,5,10119.058706633507,-21.733410361290225,-0.2147769964714552
2026-02-16 03:20:00+00:00,10000.0,10081.660423801117,5,10119.058706633507,-37.39828283238967,-0.3695826253866219
2026-02-16 03:25:00+00:00,10000.0,10084.33077352955,5,10119.058706633507,-34.727933103957184,-0.34319331580902057
2026-02-16 03:30:00+00:00,10000.0,10100.261212796053,5,10119.058706633507,-18.797493837453658,-0.1857632649678309
2026-02-16 03:35:00+00:00,10000.0,10081.193086057281,5,10119.058706633507,-37.86562057622541,-0.3742010168535037
2026-02-16 03:40:00+00:00,10000.0,10097.549369079454,6,10119.058706633507,-21.509337554052763,-0.21256263233212502
2026-02-16 03:45:00+00:00,10000.0,10119.395891913982,6,10119.395891913982,0.0,0.0
2026-02-16 03:50:00+00:00,10000.0,10104.595311055104,6,10119.395891913982,-14.800580858878675,-0.1462595298866165
2026-02-16 03:55:00+00:00,10000.0,10111.425021746658,6,10119.395891913982,-7.970870167324392,-0.0787682412316082
2026-02-16 04:00:00+00:00,10000.0,10100.862799116168,6,10119.395891913982,-18.53309279781388,-0.18314426074211854
2026-02-16 04:05:00+00:00,10000.0,10046.347569119658,6,10119.395891913982,-73.04832279432412,-0.7218644628054771
2026-02-16 04:10:00+00:00,10000.0,10076.93916306229,6,10119.395891913982,-42.45672885169188,-0.41955793908228234
2026-02-16 04:15:00+00:00,10000.0,10126.521087345218,6,10126.521087345218,0.0,0.0
2026-02-16 04:20:00+00:00,10000.0,10092.60706093896,6,10126.521087345218,-33.91402640625711,-0.33490303445512515
2026-02-16 04:25:00+00:00,10000.0,10112.91428379479,6,10126.521087345218,-13.606803550428594,-0.13436799699585444
2026-02-16 04:30:00+00:00,10000.0,10136.613048708346,6,10136.613048708346,0.0,0.0
2026-02-16 04:35:00+00:00,10000.0,10184.91256214593,6,10184.91256214593,0.0,0.0
2026-02-16 04:40:00+00:00,10000.0,10209.868643825315,6,10209.868643825315,0.0,0.0
2026-02-16 04:45:00+00:00,10000.0,10223.783581389182,6,10223.783581389182,0.0,0.0
2026-02-16 04:50:00+00:00,10000.0,10246.507578670162,6,10246.507578670162,0.0,0.0
2026-02-16 04:55:00+00:00,10000.0,10281.26036098489,6,10281.26036098489,0.0,0.0
2026-02-16 05:00:00+00:00,10000.0,10263.833303709142,6,10281.26036098489,-17.427057275748666,-0.16950312183398042
2026-02-16 05:05:00+00:00,10000.0,10262.67255397897,6,10281.26036098489,-18.587807005920695,-0.18079307743685824
2026-02-16 05:10:00+00:00,10000.0,10237.22152014869,6,10281.26036098489,-44.0388408361996,-0.42834087738228277
2026-02-16 05:15:00+00:00,10000.0,10212.021549641246,6,10281.26036098489,-69.23881134364456,-0.673446726496596
2026-02-16 05:20:00+00:00,10000.0,10233.11720488471,6,10281.26036098489,-48.14315610018093,-0.46826122877768883
2026-02-16 05:25:00+00:00,10000.0,10223.581272820114,6,10281.26036098489,-57.67908816477575,-0.5610118423190147
2026-02-16 05:30:00+00:00,10000.0,10266.354010552088,6,10281.26036098489,-14.906350432802355,-0.144985633175565
2026-02-16 05:35:00+00:00,10000.0,10264.149647992812,6,10281.26036098489,-17.110712992078334,-0.16642622004797714
2026-02-16 05:40:00+00:00,10000.0,10239.196059783908,6,10281.26036098489,-42.0643012009823,-0.4091356480048547
2026-02-16 05:45:00+00:00,10000.0,10239.827979911266,6,10281.26036098489,-41.43238107362413,-0.4029893186136113
2026-02-16 05:50:00+00:00,10000.0,10234.183713992132,6,10281.26036098489,-47.07664699275847,-0.4578878983689916
2026-02-16 05:55:00+00:00,10000.0,10254.915457635261,6,10281.26036098489,-26.34490334962902,-0.2562419628006074
2026-02-16 06:00:00+00:00,10000.0,10267.60033165659,6,10281.26036098489,-13.66002932830088,-0.13286337325079112
2026-02-16 06:05:00+00:00,10000.0,10273.709375248203,6,10281.26036098489,-7.5509857366869255,-0.07344416415463462
2026-02-16 06:10:00+00:00,10000.0,10273.0840362296,6,10281.26036098489,-8.176324755289897,-0.07952648282614216
2026-02-16 06:15:00+00:00,10000.0,10226.156534033862,6,10281.26036098489,-55.10382695102817,-0.535963734175382
2026-02-16 06:20:00+00:00,10000.0,10208.81669689798,6,10281.26036098489,-72.44366408690985,-0.7046185150783368
2026-02-16 06:25:00+00:00,10000.0,10202.830900412671,6,10281.26036098489,-78.42946057221889,-0.7628389693333792
2026-02-16 06:30:00+00:00,10000.0,10183.351310354206,6,10281.26036098489,-97.90905063068385,-0.952305915743823
2026-02-16 06:35:00+00:00,10000.0,10171.971512865113,6,10281.26036098489,-109.28884811977696,-1.0629907645808068
2026-02-16 06:40:00+00:00,10000.0,10159.586487498627,6,10281.26036098489,-121.67387348626289,-1.1834528959891788
2026-02-16 06:45:00+00:00,10000.0,10180.239343724454,6,10281.26036098489,-101.02101726043657,-0.9825742536760274
2026-02-16 06:50:00+00:00,10000.0,10189.19436717558,6,10281.26036098489,-92.06599380931038,-0.8954738094045456
2026-02-16 06:55:00+00:00,10000.0,10187.990865137757,6,10281.26036098489,-93.26949584713293,-0.9071795925047255
2026-02-16 07:00:00+00:00,10000.0,10249.604184488295,6,10281.26036098489,-31.656176496595435,-0.30790171034598135
2026-02-16 07:05:00+00:00,10000.0,10264.252233542533,6,10281.26036098489,-17.008127442357363,-0.16542842847263595
2026-02-16 07:10:00+00:00,10000.0,10351.937510372043,6,10351.937510372043,0.0,0.0
2026-02-16 07:15:00+00:00,10000.0,10424.467969859807,6,10424.467969859807,0.0,0.0
2026-02-16 07:20:00+00:00,10000.0,10388.422954528778,6,10424.467969859807,-36.04501533102848,-0.34577318895550047
2026-02-16 07:25:00+00:00,10000.0,10381.350302976207,6,10424.467969859807,-43.11766688359967,-0.41361983180595585
