pair,side,open_ts,close_ts,entry_price,exit_price,lots,realized_pnl_usd,holding_bars,partial_exit_events,close_reason,entry_trade_prob,exit_action_selected,reversal_failure_prob,reversal_opportunity_prob,entry_session_bucket,entry_scenario_bucket,entry_regime_bucket,entry_uncertainty_score,entry_structure_timing_score,pair_tier,playbook,sleeve,environment_state_at_entry,environment_state_at_exit,lifecycle_exit_reason,thesis_id,campaign_seq,campaign_entry_kind,campaign_state,campaign_state_reason,campaign_proof_score,campaign_maturity_score,campaign_reset_quality,campaign_priority_boost,allocator_score,replacement_value,sleeve_health_score,sleeve_health_state,aggressive_fallback_used,entry_uncertainty_bucket
CHFJPY,long,2026-02-16 00:00:00+00:00,2026-02-20 21:55:00+00:00,198.917972825,199.786005225,0.4,223.96212394860524,1415,0,forced_final_close,0.8180607352157698,forced_final_close,0.0,0.0,asia,asia_low_liquidity,range,0.21432600286559939,0.4631883471751048,tier2,no_trade,no_trade,PersistentTrend,forced_final_close,forced_final_close,CHFJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.1,0.0,0.30000000000000004,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
EURCAD,long,2026-02-16 00:25:00+00:00,2026-02-20 21:55:00+00:00,1.6153003814999998,1.6111597199999999,0.4,-121.06223914743465,1410,0,forced_final_close,0.7898215465961663,forced_final_close,0.0,0.0,asia,asia_low_liquidity,range,0.3128704692043811,0.5074647709159633,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,forced_final_close,forced_final_close,EURCAD:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.3585468686011423,0.0,0.7564584803610324,0.0,0.0,0.0,0.5,healthy,False,0.30_0.40
EURJPY,long,2026-02-16 00:55:00+00:00,2026-02-20 21:55:00+00:00,181.60654005,182.66543324999998,0.4,273.2063573971752,1404,0,forced_final_close,0.6583833190516996,forced_final_close,0.0,0.0,asia,trend_continuation,trend,0.28467183236638244,0.373811988765797,tier2,no_trade,no_trade,PersistentTrend,forced_final_close,forced_final_close,EURJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.08410118660679555,0.0,0.28410118660679556,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
GBPJPY,long,2026-02-16 01:50:00+00:00,2026-02-20 21:55:00+00:00,208.77721929999998,208.98477524999998,0.4,53.551769957170066,1393,0,forced_final_close,0.6806629834254143,forced_final_close,0.0,0.0,asia,trend_continuation,trend,0.26363241195272014,0.4597254714876115,tier2,no_trade,no_trade,CompressionPreBreakout,forced_final_close,forced_final_close,GBPJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.07348062274343024,0.0,0.27348062274343027,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
USDCHF,long,2026-02-16 03:40:00+00:00,2026-02-20 21:55:00+00:00,0.7681992044999999,0.7754106142499999,0.4,371.8083962774875,1371,0,forced_final_close,0.7310323383084577,forced_final_close,0.0,0.0,asia,asia_low_liquidity,range,0.22708103854602513,0.4707990077935662,tier2,range_mean_reversion,range_mean_reversion,BalancedRange,forced_final_close,forced_final_close,USDCHF:long:range_mean_reversion,1,fresh_probe,inactive,campaign_disabled_for_sleeve,0.29789402692238653,0.0,0.6308845447759487,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
USDJPY,long,2026-02-16 01:15:00+00:00,2026-02-20 21:55:00+00:00,153.02382550000002,154.9841253,0.4,505.77940038184977,1400,0,forced_final_close,0.7086053412462908,forced_final_close,0.0,0.0,asia,breakout_initiation,vol_expansion,0.2806782784943203,0.35904799364606077,tier1,no_trade,no_trade,PersistentTrend,forced_final_close,forced_final_close,USDJPY:long:no_trade,0,,inactive,campaign_disabled_for_sleeve,0.028478361677739795,0.0,0.2284783616777398,0.0,0.0,0.0,0.5,healthy,False,0.20_0.30
