ts,balance_usd,equity_usd,open_positions,equity_peak_usd,drawdown_usd,drawdown_pct
2026-03-24 06:55:00+00:00,10000.0,10000.0,0,10000.0,0.0,0.0
2026-03-24 07:00:00+00:00,10000.0,10000.0,0,10000.0,0.0,0.0
2026-03-24 07:05:00+00:00,10000.0,9994.923159802856,1,10000.0,-5.076840197143611,-0.05076840197143495
2026-03-24 07:10:00+00:00,10000.0,9973.943157235366,1,10000.0,-26.056842764633984,-0.2605684276463349
2026-03-24 07:15:00+00:00,10000.0,9996.37923503633,1,10000.0,-3.6207649636708084,-0.036207649636710304
2026-03-24 07:20:00+00:00,10000.0,9992.010527695264,1,10000.0,-7.98947230473641,-0.079894723047369
2026-03-24 07:25:00+00:00,10000.0,10000.244476116839,2,10000.244476116839,0.0,0.0
2026-03-24 07:30:00+00:00,10000.0,9985.293268725562,3,10000.244476116839,-14.951207391277421,-0.14950841878901278
2026-03-24 07:35:00+00:00,10000.0,10026.147213797076,3,10026.147213797076,0.0,0.0
2026-03-24 07:40:00+00:00,10000.0,10049.772340184894,3,10049.772340184894,0.0,0.0
2026-03-24 07:45:00+00:00,10000.0,10026.66784272256,3,10049.772340184894,-23.10449746233462,-0.22990070501347493
2026-03-24 07:50:00+00:00,10000.0,10044.43103373985,3,10049.772340184894,-5.34130644504512,-0.053148531770097485
2026-03-24 07:55:00+00:00,10000.0,10042.701004539798,3,10049.772340184894,-7.071335645096042,-0.07036314262384158
2026-03-24 08:00:00+00:00,10000.0,10003.613704375224,3,10049.772340184894,-46.15863580967016,-0.45930031295435825
2026-03-24 08:05:00+00:00,10000.0,10001.342998847507,3,10049.772340184894,-48.429341337387086,-0.48189490963629344
2026-03-24 08:10:00+00:00,10000.0,9987.569519878862,3,10049.772340184894,-62.20282030603266,-0.6189475562278113
2026-03-24 08:15:00+00:00,10000.0,9930.578502920416,3,10049.772340184894,-119.19383726447813,-1.1860351979106176
2026-03-24 08:20:00+00:00,10000.0,9919.512788498341,3,10049.772340184894,-130.2595516865531,-1.2961443033460474
2026-03-24 08:25:00+00:00,10000.0,9897.21624004574,3,10049.772340184894,-152.5561001391543,-1.5180055326143638
2026-03-24 08:30:00+00:00,10000.0,9878.923988902341,4,10049.772340184894,-170.84835128255327,-1.7000221049724762
2026-03-24 08:35:00+00:00,10000.0,9889.793223180868,4,10049.772340184894,-159.9791170040262,-1.5918680701286658
2026-03-24 08:40:00+00:00,10000.0,9896.053770249371,4,10049.772340184894,-153.7185699355232,-1.5295726582866598
2026-03-24 08:45:00+00:00,10000.0,9854.551970767101,4,10049.772340184894,-195.22036941779334,-1.9425352416908792
2026-03-24 08:50:00+00:00,10000.0,9806.974595031108,4,10049.772340184894,-242.7977451537863,-2.4159526896240013
2026-03-24 08:55:00+00:00,10000.0,9789.813074694346,4,10049.772340184894,-259.9592654905482,-2.5867179543070717
2026-03-24 09:00:00+00:00,10000.0,9809.3611892543,4,10049.772340184894,-240.41115093059489,-2.392204945472143
2026-03-24 09:05:00+00:00,10000.0,9786.838123803987,4,10049.772340184894,-262.93421638090695,-2.6163201262733193
2026-03-24 09:10:00+00:00,10000.0,9752.056812323477,4,10049.772340184894,-297.7155278614173,-2.9624106674633333
2026-03-24 09:15:00+00:00,10000.0,9772.038354771032,4,10049.772340184894,-277.7339854138627,-2.763584845631961
2026-03-24 09:20:00+00:00,10000.0,9747.670380242458,4,10049.772340184894,-302.1019599424362,-3.0060577465467087
