open,high,low,close,volume,time
150.90699768066406,150.90699768066406,150.7100067138672,150.7689971923828,0,2023-05-10 23:00:00
150.77000427246094,150.8730010986328,150.61000061035156,150.80499267578125,0,2023-05-11 00:00:00
150.7989959716797,150.88900756835938,150.69000244140625,150.72000122070312,0,2023-05-11 01:00:00
150.72000122070312,150.78799438476562,150.66000366210938,150.78599548339844,0,2023-05-11 02:00:00
150.78599548339844,150.78599548339844,150.61000061035156,150.6199951171875,0,2023-05-11 03:00:00
150.6300048828125,150.8090057373047,150.58999633789062,150.7469940185547,0,2023-05-11 04:00:00
150.74899291992188,150.822998046875,150.66000366210938,150.7899932861328,0,2023-05-11 05:00:00
150.7969970703125,150.81399536132812,150.3000030517578,150.35000610351562,0,2023-05-11 06:00:00
150.35699462890625,150.65899658203125,150.33999633789062,150.5659942626953,0,2023-05-11 07:00:00
150.5679931640625,150.73800659179688,150.4199981689453,150.65199279785156,0,2023-05-11 08:00:00
150.64700317382812,150.79100036621094,150.60000610351562,150.63600158691406,0,2023-05-11 09:00:00
150.63400268554688,150.6479949951172,150.41000366210938,150.4499969482422,0,2023-05-11 10:00:00
150.4510040283203,150.52999877929688,150.05999755859375,150.21499633789062,0,2023-05-11 11:00:00
150.21099853515625,150.61300659179688,149.88999938964844,150.03900146484375,0,2023-05-11 12:00:00
150.0500030517578,150.0800018310547,149.8000030517578,150.01499938964844,0,2023-05-11 13:00:00
150.01300048828125,150.3719940185547,149.91000366210938,150.2969970703125,0,2023-05-11 14:00:00
150.2949981689453,150.36700439453125,150.0500030517578,150.17300415039062,0,2023-05-11 15:00:00
150.14999389648438,150.4029998779297,150.11000061035156,150.33799743652344,0,2023-05-11 16:00:00
150.3350067138672,150.34100341796875,150.1699981689453,150.3040008544922,0,2023-05-11 17:00:00
150.30099487304688,150.4550018310547,150.25,150.39300537109375,0,2023-05-11 18:00:00
150.39700317382812,150.51699829101562,150.36000061035156,150.46600341796875,0,2023-05-11 19:00:00
150.4709930419922,150.52699279785156,150.4040069580078,150.4040069580078,0,2023-05-11 20:00:00
