open,high,low,close,volume,time
101.27999877929688,101.28399658203125,101.15899658203125,101.21800231933594,0,2023-05-10 23:00:00
101.21900177001953,101.30400085449219,101.10700225830078,101.25800323486328,0,2023-05-11 00:00:00
101.25800323486328,101.31600189208984,101.125,101.16500091552734,0,2023-05-11 01:00:00
101.16500091552734,101.27999877929688,101.13200378417969,101.22899627685547,0,2023-05-11 02:00:00
101.2300033569336,101.23500061035156,101.1709976196289,101.20700073242188,0,2023-05-11 03:00:00
101.20800018310547,101.30000305175781,101.16799926757812,101.26200103759766,0,2023-05-11 04:00:00
101.26300048828125,101.31400299072266,101.21499633789062,101.29900360107422,0,2023-05-11 05:00:00
101.302001953125,101.3030014038086,101.0790023803711,101.1500015258789,0,2023-05-11 06:00:00
101.14700317382812,101.3239974975586,101.14399719238281,101.29199981689453,0,2023-05-11 07:00:00
101.28800201416016,101.4739990234375,101.27200317382812,101.44100189208984,0,2023-05-11 08:00:00
101.44300079345703,101.48200225830078,101.38600158691406,101.4020004272461,0,2023-05-11 09:00:00
101.4000015258789,101.40699768066406,101.2490005493164,101.2699966430664,0,2023-05-11 10:00:00
101.26899719238281,101.33200073242188,100.96399688720703,101.01899719238281,0,2023-05-11 11:00:00
101.01899719238281,101.37999725341797,100.73600006103516,100.78099822998047,0,2023-05-11 12:00:00
100.79100036621094,100.88800048828125,100.63800048828125,100.85099792480469,0,2023-05-11 13:00:00
100.84700012207031,101.08699798583984,100.78399658203125,100.99400329589844,0,2023-05-11 14:00:00
100.99400329589844,101.04299926757812,100.86399841308594,100.927001953125,0,2023-05-11 15:00:00
100.9280014038086,100.99500274658203,100.85900115966797,100.9520034790039,0,2023-05-11 16:00:00
100.9520034790039,100.97699737548828,100.84100341796875,100.92400360107422,0,2023-05-11 17:00:00
100.9229965209961,101.06700134277344,100.89099884033203,101.01100158691406,0,2023-05-11 18:00:00
101.01300048828125,101.08699798583984,100.98799896240234,101.03900146484375,0,2023-05-11 19:00:00
101.04100036621094,101.07099914550781,100.90499877929688,100.90699768066406,0,2023-05-11 20:00:00
100.90599822998047,101.03600311279297,100.83000183105469,100.97699737548828,0,2023-05-11 21:00:00
100.97599792480469,101.0719985961914,100.93699645996094,101.00599670410156,0,2023-05-11 22:00:00
101.00599670410156,101.03299713134766,100.94400024414062,100.99299621582031,0,2023-05-11 23:00:00
100.99099731445312,101.08100128173828,100.97200012207031,101.05000305175781,0,2023-05-12 00:00:00
101.05000305175781,101.11000061035156,100.97799682617188,101.00700378417969,0,2023-05-12 01:00:00
101.00199890136719,101.10900115966797,100.99299621582031,101.08699798583984,0,2023-05-12 02:00:00
101.08599853515625,101.11599731445312,101.01000213623047,101.03099822998047,0,2023-05-12 03:00:00
101.03099822998047,101.0780029296875,100.97899627685547,101.04900360107422,0,2023-05-12 04:00:00
101.0530014038086,101.11799621582031,101.04000091552734,101.08699798583984,0,2023-05-12 05:00:00
101.08599853515625,101.16600036621094,101.00299835205078,101.1259994506836,0,2023-05-12 06:00:00
101.11900329589844,101.26599884033203,101.10299682617188,101.13300323486328,0,2023-05-12 07:00:00
101.13300323486328,101.13300323486328,101.00900268554688,101.05500030517578,0,2023-05-12 08:00:00
101.06500244140625,101.072998046875,100.9520034790039,100.95700073242188,0,2023-05-12 09:00:00
100.9489974975586,100.99500274658203,100.89199829101562,100.93599700927734,0,2023-05-12 10:00:00
