open,high,low,close,volume,time
369.19000244140625,369.4800109863281,369.0400085449219,369.3320007324219,0,2023-05-10 23:00:00
369.3320007324219,369.489990234375,369.010009765625,369.2640075683594,0,2023-05-11 00:00:00
369.3999938964844,369.4700012207031,369.05999755859375,369.1719970703125,0,2023-05-11 01:00:00
369.3399963378906,369.45001220703125,369.135009765625,369.4100036621094,0,2023-05-11 02:00:00
369.239990234375,369.6099853515625,369.1099853515625,369.4830017089844,0,2023-05-11 03:00:00
369.6099853515625,369.69000244140625,369.3599853515625,369.3900146484375,0,2023-05-11 04:00:00
369.6499938964844,369.75,369.30999755859375,369.5010070800781,0,2023-05-11 05:00:00
369.6199951171875,370.2099914550781,368.80999755859375,369.9540100097656,0,2023-05-11 06:00:00
369.94000244140625,370.9200134277344,369.55999755859375,370.9200134277344,0,2023-05-11 07:00:00
370.8299865722656,371.1300048828125,369.9100036621094,370.5799865722656,0,2023-05-11 08:00:00
370.44000244140625,371.239990234375,370.2099914550781,371.19000244140625,0,2023-05-11 09:00:00
371.0799865722656,371.2799987792969,370.5400085449219,371.05999755859375,0,2023-05-11 10:00:00
371.0400085449219,371.3999938964844,370.3599853515625,371.3800048828125,0,2023-05-11 11:00:00
370.9100036621094,371.3909912109375,370.3599853515625,371.1400146484375,0,2023-05-11 12:00:00
370.8399963378906,371.5799865722656,370.6099853515625,371.0400085449219,0,2023-05-11 13:00:00
371.3500061035156,371.760009765625,370.510009765625,371.3900146484375,0,2023-05-11 14:00:00
371.6400146484375,371.739990234375,370.3900146484375,371.05999755859375,0,2023-05-11 15:00:00
371.3299865722656,371.6400146484375,371.0400085449219,371.4599914550781,0,2023-05-11 16:00:00
371.42999267578125,371.5299987792969,371.0899963378906,371.5299987792969,0,2023-05-11 17:00:00
371.1600036621094,371.57000732421875,370.9599914550781,371.3299865722656,0,2023-05-11 18:00:00
371.3900146484375,371.3900146484375,370.9100036621094,370.9599914550781,0,2023-05-11 19:00:00
371.2300109863281,371.3800048828125,370.8599853515625,370.8599853515625,0,2023-05-11 20:00:00
371.0199890136719,371.3399963378906,370.6099853515625,371.3399963378906,0,2023-05-11 21:00:00
371.30999755859375,371.4100036621094,370.760009765625,371.2120056152344,0,2023-05-11 22:00:00
371.3900146484375,371.42999267578125,371.1109924316406,371.1369934082031,0,2023-05-11 23:00:00
371.32000732421875,371.3900146484375,371.0840148925781,371.1159973144531,0,2023-05-12 00:00:00
371.3500061035156,371.3800048828125,371.114990234375,371.3800048828125,0,2023-05-12 01:00:00
371.1159973144531,371.3999938964844,371.1099853515625,371.3299865722656,0,2023-05-12 02:00:00
371.3900146484375,371.4200134277344,371.0899963378906,371.30999755859375,0,2023-05-12 03:00:00
371.3399963378906,371.3500061035156,370.989990234375,371.3299865722656,0,2023-05-12 04:00:00
371.3299865722656,371.55999755859375,371.010009765625,371.4079895019531,0,2023-05-12 05:00:00
371.6289978027344,371.6289978027344,370.6600036621094,371.2699890136719,0,2023-05-12 06:00:00
371.2099914550781,371.5199890136719,370.9599914550781,371.4389953613281,0,2023-05-12 07:00:00
371.4620056152344,371.5,370.94000244140625,371.3800048828125,0,2023-05-12 08:00:00
371.42999267578125,371.45001220703125,370.6600036621094,370.9599914550781,0,2023-05-12 09:00:00
370.9830017089844,371.07000732421875,370.05999755859375,370.45001220703125,0,2023-05-12 10:00:00
370.5429992675781,371.0830078125,369.989990234375,370.489990234375,0,2023-05-12 11:00:00
370.822998046875,370.9010009765625,369.5899963378906,369.6600036621094,0,2023-05-12 12:00:00
369.8599853515625,370.20001220703125,369.05999755859375,369.6400146484375,0,2023-05-12 13:00:00
