ts,balance_usd,equity_usd,open_positions,equity_peak_usd,drawdown_usd,drawdown_pct
2024-01-16 00:00:00+00:00,10000.0,9988.05643148385,2,9988.05643148385,0.0,0.0
2024-01-16 00:05:00+00:00,10000.0,9982.651821769236,3,9988.05643148385,-5.404609714614708,-0.05411072466089406
2024-01-16 00:10:00+00:00,10000.0,9974.985265178042,3,9988.05643148385,-13.07116630580822,-0.1308679661100598
2024-01-16 00:15:00+00:00,10000.0,9984.076731051504,3,9988.05643148385,-3.9797004323463625,-0.03984459298609355
2024-01-16 00:20:00+00:00,10000.0,10011.42579855572,3,10011.42579855572,0.0,0.0
2024-01-16 00:25:00+00:00,10000.0,10043.31437988375,3,10043.31437988375,0.0,0.0
2024-01-16 00:30:00+00:00,10000.0,10037.755321055567,3,10043.31437988375,-5.55905882818297,-0.05535083955270359
2024-01-16 00:35:00+00:00,10000.0,10075.579988365083,3,10075.579988365083,0.0,0.0
2024-01-16 00:40:00+00:00,10000.0,10078.967541259532,3,10078.967541259532,0.0,0.0
2024-01-16 00:45:00+00:00,10000.0,10090.72913400927,3,10090.72913400927,0.0,0.0
2024-01-16 00:50:00+00:00,10000.0,10125.731879899942,3,10125.731879899942,0.0,0.0
2024-01-16 00:55:00+00:00,10000.0,10124.064204644033,5,10125.731879899942,-1.6676752559087618,-0.016469676223795915
2024-01-16 01:00:00+00:00,10000.0,10114.069760068845,5,10125.731879899942,-11.662119831096788,-0.11517310520779978
2024-01-16 01:05:00+00:00,10000.0,10125.265178362335,5,10125.731879899942,-0.4667015376071504,-0.004609064738658741
2024-01-16 01:10:00+00:00,10000.0,10118.994105736576,5,10125.731879899942,-6.737774163366339,-0.06654110777652988
2024-01-16 01:15:00+00:00,10000.0,10127.110301859173,5,10127.110301859173,0.0,0.0
2024-01-16 01:20:00+00:00,10000.0,10142.325502333775,5,10142.325502333775,0.0,0.0
2024-01-16 01:25:00+00:00,10000.0,10135.250360260638,5,10142.325502333775,-7.075142073137613,-0.069758578262058
2024-01-16 01:30:00+00:00,10000.0,10134.682238466754,5,10142.325502333775,-7.643263867021233,-0.07536007265062095
2024-01-16 01:35:00+00:00,10000.0,10130.850990491144,5,10142.325502333775,-11.474511842630818,-0.11313491999433989
2024-01-16 01:40:00+00:00,10000.0,10139.539884041273,5,10142.325502333775,-2.785618292502477,-0.02746528192041353
2024-01-16 01:45:00+00:00,10000.0,10148.562985210085,5,10148.562985210085,0.0,0.0
2024-01-16 01:50:00+00:00,10000.0,10156.339562119463,5,10156.339562119463,0.0,0.0
2024-01-16 01:55:00+00:00,10000.0,10180.581989052433,5,10180.581989052433,0.0,0.0
2024-01-16 02:00:00+00:00,10000.0,10189.323812705801,5,10189.323812705801,0.0,0.0
2024-01-16 02:05:00+00:00,10000.0,10173.553504452435,5,10189.323812705801,-15.770308253366238,-0.15477286366835097
2024-01-16 02:10:00+00:00,10000.0,10194.604163111373,5,10194.604163111373,0.0,0.0
2024-01-16 02:15:00+00:00,10000.0,10209.191357008634,5,10209.191357008634,0.0,0.0
2024-01-16 02:20:00+00:00,10000.0,10245.501429599706,5,10245.501429599706,0.0,0.0
2024-01-16 02:25:00+00:00,10000.0,10227.48009643585,5,10245.501429599706,-18.02133316385698,-0.17589508222400907
2024-01-16 02:30:00+00:00,10000.0,10228.881391467216,5,10245.501429599706,-16.620038132490663,-0.16221790848103268
2024-01-16 02:35:00+00:00,10000.0,10212.082323968123,5,10245.501429599706,-33.41910563158308,-0.32618321183416343
2024-01-16 02:40:00+00:00,10000.0,10219.342053028562,5,10245.501429599706,-26.159376571144094,-0.25532548846821657
2024-01-16 02:45:00+00:00,10000.0,10206.980568130284,5,10245.501429599706,-38.520861469422016,-0.37597829383082537
2024-01-16 02:50:00+00:00,10000.0,10220.011216779048,5,10245.501429599706,-25.49021282065769,-0.2487941951480832
2024-01-16 02:55:00+00:00,10000.0,10211.255254770165,5,10245.501429599706,-34.246174829540905,-0.33425572252230307
2024-01-16 03:00:00+00:00,10000.0,10212.347279652837,5,10245.501429599706,-33.15414994686944,-0.3235971433383056
2024-01-16 03:05:00+00:00,10000.0,10228.918547698073,5,10245.501429599706,-16.5828819016333,-0.16185524950222963
2024-01-16 03:10:00+00:00,10000.0,10219.228534119073,5,10245.501429599706,-26.27289548063345,-0.25643347630336377
2024-01-16 03:15:00+00:00,10000.0,10224.728103365504,5,10245.501429599706,-20.773326234202614,-0.2027555837744277
2024-01-16 03:20:00+00:00,10000.0,10225.26590978145,5,10245.501429599706,-20.235519818255852,-0.19750638811874
2024-01-16 03:25:00+00:00,10000.0,10230.837553084348,5,10245.501429599706,-14.663876515358425,-0.14312502532081162
2024-01-16 03:30:00+00:00,10000.0,10231.009910898862,5,10245.501429599706,-14.491518700844608,-0.14144274734058104
2024-01-16 03:35:00+00:00,10000.0,10228.606107989102,5,10245.501429599706,-16.895321610603787,-0.164904780177888
2024-01-16 03:40:00+00:00,10000.0,10220.745051641994,5,10245.501429599706,-24.756377957712175,-0.2416316871147961
2024-01-16 03:45:00+00:00,10000.0,10223.825630140605,5,10245.501429599706,-21.675799459100745,-0.21156406651292592
2024-01-16 03:50:00+00:00,10000.0,10219.649125731961,6,10245.501429599706,-25.852303867744922,-0.2523283418130906
2024-01-16 03:55:00+00:00,10000.0,10228.457320795149,6,10245.501429599706,-17.044108804557254,-0.16635699991526254
2024-01-16 04:00:00+00:00,10000.0,10223.70825581101,6,10245.501429599706,-21.79317378869564,-0.21270968471815976
2024-01-16 04:05:00+00:00,10000.0,10234.900853501647,6,10245.501429599706,-10.60057609805881,-0.10346566413463876
2024-01-16 04:10:00+00:00,10000.0,10240.377337592317,6,10245.501429599706,-5.124092007388754,-0.0500130915270236
2024-01-16 04:15:00+00:00,10000.0,10235.69989183714,6,10245.501429599706,-9.801537762567023,-0.09566674535079756
2024-01-16 04:20:00+00:00,10000.0,10269.143493481532,6,10269.143493481532,0.0,0.0
2024-01-16 04:25:00+00:00,10000.0,10255.357339407317,6,10269.143493481532,-13.78615407421421,-0.1342483341767009
2024-01-16 04:30:00+00:00,10000.0,10278.132668246215,6,10278.132668246215,0.0,0.0
2024-01-16 04:35:00+00:00,10000.0,10258.28439079037,6,10278.132668246215,-19.848277455845164,-0.19311170712132952
2024-01-16 04:40:00+00:00,10000.0,10265.789314434627,6,10278.132668246215,-12.343353811587804,-0.12009334973581698
2024-01-16 04:45:00+00:00,10000.0,10209.098190642093,6,10278.132668246215,-69.034477604122,-0.6716636166548051
2024-01-16 04:50:00+00:00,10000.0,10214.92655118182,6,10278.132668246215,-63.206117064395585,-0.6149572019017446
2024-01-16 04:55:00+00:00,10000.0,10226.469048042041,6,10278.132668246215,-51.66362020417364,-0.5026557048031233
2024-01-16 05:00:00+00:00,10000.0,10220.522890879545,6,10278.132668246215,-57.60977736666973,-0.5605082092844826
2024-01-16 05:05:00+00:00,10000.0,10219.769760181858,6,10278.132668246215,-58.362908064356816,-0.5678357144062396
2024-01-16 05:10:00+00:00,10000.0,10224.955413454823,6,10278.132668246215,-53.17725479139153,-0.5173824517334724
2024-01-16 05:15:00+00:00,10000.0,10237.532571105885,6,10278.132668246215,-40.600097140330035,-0.3950143323773414
2024-01-16 05:20:00+00:00,10000.0,10231.491324028528,6,10278.132668246215,-46.64134421768722,-0.4537920040843968
2024-01-16 05:25:00+00:00,10000.0,10249.460794375074,6,10278.132668246215,-28.671873871140633,-0.27895995115650996
2024-01-16 05:30:00+00:00,10000.0,10297.693535681803,6,10297.693535681803,0.0,0.0
2024-01-16 05:35:00+00:00,10000.0,10305.412330279865,6,10305.412330279865,0.0,0.0
2024-01-16 05:40:00+00:00,10000.0,10345.734505536362,6,10345.734505536362,0.0,0.0
2024-01-16 05:45:00+00:00,10000.0,10326.313997351892,6,10345.734505536362,-19.420508184470236,-0.18771512234416754
2024-01-16 05:50:00+00:00,10000.0,10309.891228923687,6,10345.734505536362,-35.843276612675254,-0.3464546339701058
2024-01-16 05:55:00+00:00,10000.0,10318.142024979734,6,10345.734505536362,-27.59248055662829,-0.2667039304156016
2024-01-16 06:00:00+00:00,10000.0,10307.247318319387,6,10345.734505536362,-38.487187216975144,-0.3720101960511313
2024-01-16 06:05:00+00:00,10000.0,10322.466990838158,6,10345.734505536362,-23.26751469820374,-0.22489959205653776
2024-01-16 06:10:00+00:00,10000.0,10333.053373784349,6,10345.734505536362,-12.681131752013243,-0.12257352772030439
2024-01-16 06:15:00+00:00,10000.0,10326.102383152655,6,10345.734505536362,-19.63212238370761,-0.1897605469500685
2024-01-16 06:20:00+00:00,10000.0,10297.813202362237,6,10345.734505536362,-47.92130317412557,-0.4631986559144874
2024-01-16 06:25:00+00:00,10000.0,10288.723513197721,6,10345.734505536362,-57.01099233864079,-0.5510579486466827
2024-01-16 06:30:00+00:00,10000.0,10290.14246902577,6,10345.734505536362,-55.59203651059215,-0.5373425780532348
2024-01-16 06:35:00+00:00,10000.0,10303.185325887967,6,10345.734505536362,-42.549179648394784,-0.41127268079057533
2024-01-16 06:40:00+00:00,10000.0,10320.433718516219,6,10345.734505536362,-25.300787020143616,-0.24455283485773638
2024-01-16 06:45:00+00:00,10000.0,10312.46301220292,6,10345.734505536362,-33.27149333344278,-0.3215962415779927
2024-01-16 06:50:00+00:00,10000.0,10307.041264607205,6,10345.734505536362,-38.69324092915667,-0.3740018739940676
2024-01-16 06:55:00+00:00,10000.0,10290.986910999325,6,10345.734505536362,-54.747594537037,-0.5291803545484308
